News Organization,Compound,Date,Negative,Neutral,Positive
@CNNbrk,-0.396,"['Mon Apr 09 22:27:29 +0000 2018', 'Mon Apr 09 22:27:28 +0000 2018', 'Mon Apr 09 22:27:28 +0000 2018', 'Mon Apr 09 22:27:28 +0000 2018', 'Mon Apr 09 22:27:22 +0000 2018', 'Mon Apr 09 22:27:22 +0000 2018', 'Mon Apr 09 22:27:16 +0000 2018', 'Mon Apr 09 22:27:16 +0000 2018', 'Mon Apr 09 22:27:12 +0000 2018', 'Mon Apr 09 22:27:12 +0000 2018', 'Mon Apr 09 22:27:08 +0000 2018', 'Mon Apr 09 22:27:00 +0000 2018', 'Mon Apr 09 22:26:58 +0000 2018', 'Mon Apr 09 22:26:54 +0000 2018', 'Mon Apr 09 22:26:51 +0000 2018', 'Mon Apr 09 22:26:49 +0000 2018', 'Mon Apr 09 22:26:47 +0000 2018', 'Mon Apr 09 22:26:46 +0000 2018', 'Mon Apr 09 22:26:43 +0000 2018', 'Mon Apr 09 22:26:42 +0000 2018', 'Mon Apr 09 22:26:41 +0000 2018', 'Mon Apr 09 22:26:39 +0000 2018', 'Mon Apr 09 22:26:36 +0000 2018', 'Mon Apr 09 22:26:34 +0000 2018', 'Mon Apr 09 22:26:30 +0000 2018', 'Mon Apr 09 22:26:30 +0000 2018', 'Mon Apr 09 22:26:29 +0000 2018', 'Mon Apr 09 22:26:28 +0000 2018', 'Mon Apr 09 22:26:26 +0000 2018', 'Mon Apr 09 22:26:26 +0000 2018', 'Mon Apr 09 22:26:13 +0000 2018', 'Mon Apr 09 22:26:13 +0000 2018', 'Mon Apr 09 22:26:07 +0000 2018', 'Mon Apr 09 22:26:06 +0000 2018', 'Mon Apr 09 22:26:06 +0000 2018', 'Mon Apr 09 22:26:02 +0000 2018', 'Mon Apr 09 22:25:56 +0000 2018', 'Mon Apr 09 22:25:41 +0000 2018', 'Mon Apr 09 22:25:33 +0000 2018', 'Mon Apr 09 22:25:31 +0000 2018', 'Mon Apr 09 22:25:31 +0000 2018', 'Mon Apr 09 22:25:23 +0000 2018', 'Mon Apr 09 22:25:07 +0000 2018', 'Mon Apr 09 22:25:02 +0000 2018', 'Mon Apr 09 22:25:01 +0000 2018', 'Mon Apr 09 22:24:57 +0000 2018', 'Mon Apr 09 22:24:53 +0000 2018', 'Mon Apr 09 22:24:51 +0000 2018', 'Mon Apr 09 22:24:48 +0000 2018', 'Mon Apr 09 22:24:43 +0000 2018', 'Mon Apr 09 22:24:42 +0000 2018', 'Mon Apr 09 22:24:41 +0000 2018', 'Mon Apr 09 22:24:39 +0000 2018', 'Mon Apr 09 22:24:38 +0000 2018', 'Mon Apr 09 22:24:36 +0000 2018', 'Mon Apr 09 22:24:36 +0000 2018', 'Mon Apr 09 22:24:34 +0000 2018', 'Mon Apr 09 22:24:26 +0000 2018', 'Mon Apr 09 22:24:19 +0000 2018', 'Mon Apr 09 22:24:18 +0000 2018', 'Mon Apr 09 22:24:16 +0000 2018', 'Mon Apr 09 22:24:08 +0000 2018', 'Mon Apr 09 22:24:07 +0000 2018', 'Mon Apr 09 22:24:06 +0000 2018', 'Mon Apr 09 22:24:06 +0000 2018', 'Mon Apr 09 22:24:04 +0000 2018', 'Mon Apr 09 22:24:01 +0000 2018', 'Mon Apr 09 22:23:55 +0000 2018', 'Mon Apr 09 22:23:53 +0000 2018', 'Mon Apr 09 22:23:51 +0000 2018', 'Mon Apr 09 22:23:49 +0000 2018', 'Mon Apr 09 22:23:49 +0000 2018', 'Mon Apr 09 22:23:47 +0000 2018', 'Mon Apr 09 22:23:45 +0000 2018', 'Mon Apr 09 22:23:40 +0000 2018', 'Mon Apr 09 22:23:39 +0000 2018', 'Mon Apr 09 22:23:37 +0000 2018', 'Mon Apr 09 22:23:35 +0000 2018', 'Mon Apr 09 22:23:34 +0000 2018', 'Mon Apr 09 22:23:32 +0000 2018', 'Mon Apr 09 22:23:29 +0000 2018', 'Mon Apr 09 22:23:29 +0000 2018', 'Mon Apr 09 22:23:24 +0000 2018', 'Mon Apr 09 22:23:20 +0000 2018', 'Mon Apr 09 22:23:20 +0000 2018', 'Mon Apr 09 22:23:20 +0000 2018', 'Mon Apr 09 22:23:18 +0000 2018', 'Mon Apr 09 22:23:13 +0000 2018', 'Mon Apr 09 22:23:12 +0000 2018', 'Mon Apr 09 22:23:07 +0000 2018', 'Mon Apr 09 22:23:02 +0000 2018', 'Mon Apr 09 22:23:02 +0000 2018', 'Mon Apr 09 22:22:57 +0000 2018', 'Mon Apr 09 22:22:57 +0000 2018', 'Mon Apr 09 22:22:54 +0000 2018', 'Mon Apr 09 22:22:51 +0000 2018', 'Mon Apr 09 22:22:41 +0000 2018', 'Mon Apr 09 22:22:39 +0000 2018', 'Mon Apr 09 22:22:39 +0000 2018', 'Mon Apr 09 22:22:32 +0000 2018']",0.221,0.739,0.04
@FoxNews,-0.096,"['Mon Apr 09 22:27:33 +0000 2018', 'Mon Apr 09 22:27:33 +0000 2018', 'Mon Apr 09 22:27:33 +0000 2018', 'Mon Apr 09 22:27:33 +0000 2018', 'Mon Apr 09 22:27:33 +0000 2018', 'Mon Apr 09 22:27:32 +0000 2018', 'Mon Apr 09 22:27:31 +0000 2018', 'Mon Apr 09 22:27:31 +0000 2018', 'Mon Apr 09 22:27:31 +0000 2018', 'Mon Apr 09 22:27:30 +0000 2018', 'Mon Apr 09 22:27:30 +0000 2018', 'Mon Apr 09 22:27:29 +0000 2018', 'Mon Apr 09 22:27:28 +0000 2018', 'Mon Apr 09 22:27:28 +0000 2018', 'Mon Apr 09 22:27:27 +0000 2018', 'Mon Apr 09 22:27:27 +0000 2018', 'Mon Apr 09 22:27:26 +0000 2018', 'Mon Apr 09 22:27:26 +0000 2018', 'Mon Apr 09 22:27:24 +0000 2018', 'Mon Apr 09 22:27:23 +0000 2018', 'Mon Apr 09 22:27:23 +0000 2018', 'Mon Apr 09 22:27:22 +0000 2018', 'Mon Apr 09 22:27:21 +0000 2018', 'Mon Apr 09 22:27:20 +0000 2018', 'Mon Apr 09 22:27:18 +0000 2018', 'Mon Apr 09 22:27:17 +0000 2018', 'Mon Apr 09 22:27:17 +0000 2018', 'Mon Apr 09 22:27:16 +0000 2018', 'Mon Apr 09 22:27:16 +0000 2018', 'Mon Apr 09 22:27:16 +0000 2018', 'Mon Apr 09 22:27:15 +0000 2018', 'Mon Apr 09 22:27:15 +0000 2018', 'Mon Apr 09 22:27:14 +0000 2018', 'Mon Apr 09 22:27:14 +0000 2018', 'Mon Apr 09 22:27:13 +0000 2018', 'Mon Apr 09 22:27:13 +0000 2018', 'Mon Apr 09 22:27:13 +0000 2018', 'Mon Apr 09 22:27:13 +0000 2018', 'Mon Apr 09 22:27:12 +0000 2018', 'Mon Apr 09 22:27:09 +0000 2018', 'Mon Apr 09 22:27:09 +0000 2018', 'Mon Apr 09 22:27:08 +0000 2018', 'Mon Apr 09 22:27:08 +0000 2018', 'Mon Apr 09 22:27:06 +0000 2018', 'Mon Apr 09 22:27:06 +0000 2018', 'Mon Apr 09 22:27:06 +0000 2018', 'Mon Apr 09 22:27:06 +0000 2018', 'Mon Apr 09 22:27:06 +0000 2018', 'Mon Apr 09 22:27:05 +0000 2018', 'Mon Apr 09 22:27:05 +0000 2018', 'Mon Apr 09 22:27:05 +0000 2018', 'Mon Apr 09 22:27:05 +0000 2018', 'Mon Apr 09 22:27:05 +0000 2018', 'Mon Apr 09 22:27:05 +0000 2018', 'Mon Apr 09 22:27:04 +0000 2018', 'Mon Apr 09 22:27:04 +0000 2018', 'Mon Apr 09 22:27:03 +0000 2018', 'Mon Apr 09 22:27:03 +0000 2018', 'Mon Apr 09 22:27:02 +0000 2018', 'Mon Apr 09 22:27:02 +0000 2018', 'Mon Apr 09 22:27:01 +0000 2018', 'Mon Apr 09 22:27:00 +0000 2018', 'Mon Apr 09 22:27:00 +0000 2018', 'Mon Apr 09 22:27:00 +0000 2018', 'Mon Apr 09 22:27:00 +0000 2018', 'Mon Apr 09 22:27:00 +0000 2018', 'Mon Apr 09 22:26:59 +0000 2018', 'Mon Apr 09 22:26:59 +0000 2018', 'Mon Apr 09 22:26:57 +0000 2018', 'Mon Apr 09 22:26:56 +0000 2018', 'Mon Apr 09 22:26:56 +0000 2018', 'Mon Apr 09 22:26:52 +0000 2018', 'Mon Apr 09 22:26:52 +0000 2018', 'Mon Apr 09 22:26:51 +0000 2018', 'Mon Apr 09 22:26:51 +0000 2018', 'Mon Apr 09 22:26:51 +0000 2018', 'Mon Apr 09 22:26:51 +0000 2018', 'Mon Apr 09 22:26:50 +0000 2018', 'Mon Apr 09 22:26:49 +0000 2018', 'Mon Apr 09 22:26:49 +0000 2018', 'Mon Apr 09 22:26:48 +0000 2018', 'Mon Apr 09 22:26:47 +0000 2018', 'Mon Apr 09 22:26:47 +0000 2018', 'Mon Apr 09 22:26:46 +0000 2018', 'Mon Apr 09 22:26:44 +0000 2018', 'Mon Apr 09 22:26:43 +0000 2018', 'Mon Apr 09 22:26:43 +0000 2018', 'Mon Apr 09 22:26:42 +0000 2018', 'Mon Apr 09 22:26:41 +0000 2018', 'Mon Apr 09 22:26:40 +0000 2018', 'Mon Apr 09 22:26:39 +0000 2018', 'Mon Apr 09 22:26:39 +0000 2018', 'Mon Apr 09 22:26:38 +0000 2018', 'Mon Apr 09 22:26:38 +0000 2018', 'Mon Apr 09 22:26:37 +0000 2018', 'Mon Apr 09 22:26:36 +0000 2018', 'Mon Apr 09 22:26:35 +0000 2018', 'Mon Apr 09 22:26:34 +0000 2018', 'Mon Apr 09 22:26:33 +0000 2018', 'Mon Apr 09 22:26:32 +0000 2018']",0.094,0.851,0.055
@BBCNews,-0.112,"['Mon Apr 09 22:27:34 +0000 2018', 'Mon Apr 09 22:27:15 +0000 2018', 'Mon Apr 09 22:27:11 +0000 2018', 'Mon Apr 09 22:27:03 +0000 2018', 'Mon Apr 09 22:26:53 +0000 2018', 'Mon Apr 09 22:26:51 +0000 2018', 'Mon Apr 09 22:26:51 +0000 2018', 'Mon Apr 09 22:26:50 +0000 2018', 'Mon Apr 09 22:26:29 +0000 2018', 'Mon Apr 09 22:26:25 +0000 2018', 'Mon Apr 09 22:26:24 +0000 2018', 'Mon Apr 09 22:26:22 +0000 2018', 'Mon Apr 09 22:26:02 +0000 2018', 'Mon Apr 09 22:25:59 +0000 2018', 'Mon Apr 09 22:25:58 +0000 2018', 'Mon Apr 09 22:25:48 +0000 2018', 'Mon Apr 09 22:25:43 +0000 2018', 'Mon Apr 09 22:25:38 +0000 2018', 'Mon Apr 09 22:25:30 +0000 2018', 'Mon Apr 09 22:25:15 +0000 2018', 'Mon Apr 09 22:25:11 +0000 2018', 'Mon Apr 09 22:25:10 +0000 2018', 'Mon Apr 09 22:25:08 +0000 2018', 'Mon Apr 09 22:25:07 +0000 2018', 'Mon Apr 09 22:25:01 +0000 2018', 'Mon Apr 09 22:24:50 +0000 2018', 'Mon Apr 09 22:24:49 +0000 2018', 'Mon Apr 09 22:24:45 +0000 2018', 'Mon Apr 09 22:24:43 +0000 2018', 'Mon Apr 09 22:24:37 +0000 2018', 'Mon Apr 09 22:24:24 +0000 2018', 'Mon Apr 09 22:24:13 +0000 2018', 'Mon Apr 09 22:24:10 +0000 2018', 'Mon Apr 09 22:23:59 +0000 2018', 'Mon Apr 09 22:23:39 +0000 2018', 'Mon Apr 09 22:23:28 +0000 2018', 'Mon Apr 09 22:23:19 +0000 2018', 'Mon Apr 09 22:23:17 +0000 2018', 'Mon Apr 09 22:23:09 +0000 2018', 'Mon Apr 09 22:23:07 +0000 2018', 'Mon Apr 09 22:22:57 +0000 2018', 'Mon Apr 09 22:22:53 +0000 2018', 'Mon Apr 09 22:22:50 +0000 2018', 'Mon Apr 09 22:22:45 +0000 2018', 'Mon Apr 09 22:22:44 +0000 2018', 'Mon Apr 09 22:22:42 +0000 2018', 'Mon Apr 09 22:22:32 +0000 2018', 'Mon Apr 09 22:22:13 +0000 2018', 'Mon Apr 09 22:22:08 +0000 2018', 'Mon Apr 09 22:22:03 +0000 2018', 'Mon Apr 09 22:21:55 +0000 2018', 'Mon Apr 09 22:21:53 +0000 2018', 'Mon Apr 09 22:21:49 +0000 2018', 'Mon Apr 09 22:21:43 +0000 2018', 'Mon Apr 09 22:21:29 +0000 2018', 'Mon Apr 09 22:21:24 +0000 2018', 'Mon Apr 09 22:21:24 +0000 2018', 'Mon Apr 09 22:21:23 +0000 2018', 'Mon Apr 09 22:21:22 +0000 2018', 'Mon Apr 09 22:21:19 +0000 2018', 'Mon Apr 09 22:21:18 +0000 2018', 'Mon Apr 09 22:21:10 +0000 2018', 'Mon Apr 09 22:20:49 +0000 2018', 'Mon Apr 09 22:20:46 +0000 2018', 'Mon Apr 09 22:20:45 +0000 2018', 'Mon Apr 09 22:20:31 +0000 2018', 'Mon Apr 09 22:20:26 +0000 2018', 'Mon Apr 09 22:20:24 +0000 2018', 'Mon Apr 09 22:20:21 +0000 2018', 'Mon Apr 09 22:20:14 +0000 2018', 'Mon Apr 09 22:20:12 +0000 2018', 'Mon Apr 09 22:20:09 +0000 2018', 'Mon Apr 09 22:20:04 +0000 2018', 'Mon Apr 09 22:20:04 +0000 2018', 'Mon Apr 09 22:19:54 +0000 2018', 'Mon Apr 09 22:19:42 +0000 2018', 'Mon Apr 09 22:19:35 +0000 2018', 'Mon Apr 09 22:19:32 +0000 2018', 'Mon Apr 09 22:19:30 +0000 2018', 'Mon Apr 09 22:19:11 +0000 2018', 'Mon Apr 09 22:19:06 +0000 2018', 'Mon Apr 09 22:19:02 +0000 2018', 'Mon Apr 09 22:18:54 +0000 2018', 'Mon Apr 09 22:18:53 +0000 2018', 'Mon Apr 09 22:18:41 +0000 2018', 'Mon Apr 09 22:18:41 +0000 2018', 'Mon Apr 09 22:18:38 +0000 2018', 'Mon Apr 09 22:18:33 +0000 2018', 'Mon Apr 09 22:18:28 +0000 2018', 'Mon Apr 09 22:18:19 +0000 2018', 'Mon Apr 09 22:18:11 +0000 2018', 'Mon Apr 09 22:18:03 +0000 2018', 'Mon Apr 09 22:17:52 +0000 2018', 'Mon Apr 09 22:17:46 +0000 2018', 'Mon Apr 09 22:17:45 +0000 2018', 'Mon Apr 09 22:17:43 +0000 2018', 'Mon Apr 09 22:17:40 +0000 2018', 'Mon Apr 09 22:17:36 +0000 2018', 'Mon Apr 09 22:17:35 +0000 2018', 'Mon Apr 09 22:17:33 +0000 2018']",0.107,0.83,0.063
@CBS,0.24,"['Mon Apr 09 22:26:51 +0000 2018', 'Mon Apr 09 22:26:31 +0000 2018', 'Mon Apr 09 22:25:29 +0000 2018', 'Mon Apr 09 22:25:21 +0000 2018', 'Mon Apr 09 22:25:09 +0000 2018', 'Mon Apr 09 22:25:09 +0000 2018', 'Mon Apr 09 22:25:05 +0000 2018', 'Mon Apr 09 22:25:03 +0000 2018', 'Mon Apr 09 22:23:55 +0000 2018', 'Mon Apr 09 22:23:53 +0000 2018', 'Mon Apr 09 22:23:10 +0000 2018', 'Mon Apr 09 22:23:02 +0000 2018', 'Mon Apr 09 22:22:20 +0000 2018', 'Mon Apr 09 22:21:56 +0000 2018', 'Mon Apr 09 22:21:49 +0000 2018', 'Mon Apr 09 22:21:46 +0000 2018', 'Mon Apr 09 22:21:40 +0000 2018', 'Mon Apr 09 22:21:35 +0000 2018', 'Mon Apr 09 22:21:04 +0000 2018', 'Mon Apr 09 22:20:55 +0000 2018', 'Mon Apr 09 22:20:50 +0000 2018', 'Mon Apr 09 22:20:36 +0000 2018', 'Mon Apr 09 22:20:12 +0000 2018', 'Mon Apr 09 22:19:29 +0000 2018', 'Mon Apr 09 22:19:28 +0000 2018', 'Mon Apr 09 22:19:22 +0000 2018', 'Mon Apr 09 22:19:21 +0000 2018', 'Mon Apr 09 22:19:10 +0000 2018', 'Mon Apr 09 22:19:02 +0000 2018', 'Mon Apr 09 22:18:08 +0000 2018', 'Mon Apr 09 22:17:31 +0000 2018', 'Mon Apr 09 22:17:19 +0000 2018', 'Mon Apr 09 22:16:25 +0000 2018', 'Mon Apr 09 22:16:17 +0000 2018', 'Mon Apr 09 22:15:49 +0000 2018', 'Mon Apr 09 22:15:41 +0000 2018', 'Mon Apr 09 22:15:35 +0000 2018', 'Mon Apr 09 22:15:34 +0000 2018', 'Mon Apr 09 22:15:30 +0000 2018', 'Mon Apr 09 22:15:30 +0000 2018', 'Mon Apr 09 22:15:27 +0000 2018', 'Mon Apr 09 22:14:48 +0000 2018', 'Mon Apr 09 22:14:40 +0000 2018', 'Mon Apr 09 22:14:13 +0000 2018', 'Mon Apr 09 22:13:58 +0000 2018', 'Mon Apr 09 22:13:28 +0000 2018', 'Mon Apr 09 22:13:15 +0000 2018', 'Mon Apr 09 22:13:07 +0000 2018', 'Mon Apr 09 22:12:46 +0000 2018', 'Mon Apr 09 22:12:37 +0000 2018', 'Mon Apr 09 22:12:28 +0000 2018', 'Mon Apr 09 22:12:10 +0000 2018', 'Mon Apr 09 22:11:55 +0000 2018', 'Mon Apr 09 22:11:47 +0000 2018', 'Mon Apr 09 22:11:43 +0000 2018', 'Mon Apr 09 22:11:43 +0000 2018', 'Mon Apr 09 22:11:42 +0000 2018', 'Mon Apr 09 22:11:33 +0000 2018', 'Mon Apr 09 22:11:23 +0000 2018', 'Mon Apr 09 22:11:23 +0000 2018', 'Mon Apr 09 22:10:46 +0000 2018', 'Mon Apr 09 22:10:35 +0000 2018', 'Mon Apr 09 22:10:31 +0000 2018', 'Mon Apr 09 22:10:10 +0000 2018', 'Mon Apr 09 22:08:50 +0000 2018', 'Mon Apr 09 22:08:49 +0000 2018', 'Mon Apr 09 22:08:43 +0000 2018', 'Mon Apr 09 22:08:43 +0000 2018', 'Mon Apr 09 22:08:32 +0000 2018', 'Mon Apr 09 22:08:12 +0000 2018', 'Mon Apr 09 22:08:12 +0000 2018', 'Mon Apr 09 22:07:49 +0000 2018', 'Mon Apr 09 22:06:15 +0000 2018', 'Mon Apr 09 22:06:13 +0000 2018', 'Mon Apr 09 22:05:59 +0000 2018', 'Mon Apr 09 22:05:45 +0000 2018', 'Mon Apr 09 22:05:31 +0000 2018', 'Mon Apr 09 22:05:09 +0000 2018', 'Mon Apr 09 22:05:08 +0000 2018', 'Mon Apr 09 22:05:00 +0000 2018', 'Mon Apr 09 22:04:47 +0000 2018', 'Mon Apr 09 22:04:41 +0000 2018', 'Mon Apr 09 22:04:38 +0000 2018', 'Mon Apr 09 22:04:26 +0000 2018', 'Mon Apr 09 22:03:57 +0000 2018', 'Mon Apr 09 22:03:55 +0000 2018', 'Mon Apr 09 22:03:32 +0000 2018', 'Mon Apr 09 22:03:21 +0000 2018', 'Mon Apr 09 22:03:18 +0000 2018', 'Mon Apr 09 22:03:16 +0000 2018', 'Mon Apr 09 22:03:12 +0000 2018', 'Mon Apr 09 22:03:08 +0000 2018', 'Mon Apr 09 22:02:05 +0000 2018', 'Mon Apr 09 22:00:25 +0000 2018', 'Mon Apr 09 21:59:45 +0000 2018', 'Mon Apr 09 21:59:28 +0000 2018', 'Mon Apr 09 21:59:16 +0000 2018', 'Mon Apr 09 21:58:55 +0000 2018', 'Mon Apr 09 21:57:43 +0000 2018', 'Mon Apr 09 21:57:41 +0000 2018']",0.031,0.858,0.111
@nytimes,-0.03,"['Mon Apr 09 22:27:35 +0000 2018', 'Mon Apr 09 22:27:33 +0000 2018', 'Mon Apr 09 22:27:32 +0000 2018', 'Mon Apr 09 22:27:32 +0000 2018', 'Mon Apr 09 22:27:32 +0000 2018', 'Mon Apr 09 22:27:31 +0000 2018', 'Mon Apr 09 22:27:30 +0000 2018', 'Mon Apr 09 22:27:30 +0000 2018', 'Mon Apr 09 22:27:30 +0000 2018', 'Mon Apr 09 22:27:29 +0000 2018', 'Mon Apr 09 22:27:29 +0000 2018', 'Mon Apr 09 22:27:28 +0000 2018', 'Mon Apr 09 22:27:28 +0000 2018', 'Mon Apr 09 22:27:27 +0000 2018', 'Mon Apr 09 22:27:26 +0000 2018', 'Mon Apr 09 22:27:25 +0000 2018', 'Mon Apr 09 22:27:23 +0000 2018', 'Mon Apr 09 22:27:23 +0000 2018', 'Mon Apr 09 22:27:20 +0000 2018', 'Mon Apr 09 22:27:17 +0000 2018', 'Mon Apr 09 22:27:16 +0000 2018', 'Mon Apr 09 22:27:13 +0000 2018', 'Mon Apr 09 22:27:12 +0000 2018', 'Mon Apr 09 22:27:10 +0000 2018', 'Mon Apr 09 22:27:10 +0000 2018', 'Mon Apr 09 22:27:09 +0000 2018', 'Mon Apr 09 22:27:08 +0000 2018', 'Mon Apr 09 22:27:05 +0000 2018', 'Mon Apr 09 22:27:05 +0000 2018', 'Mon Apr 09 22:27:04 +0000 2018', 'Mon Apr 09 22:27:01 +0000 2018', 'Mon Apr 09 22:27:01 +0000 2018', 'Mon Apr 09 22:27:00 +0000 2018', 'Mon Apr 09 22:26:59 +0000 2018', 'Mon Apr 09 22:26:58 +0000 2018', 'Mon Apr 09 22:26:57 +0000 2018', 'Mon Apr 09 22:26:56 +0000 2018', 'Mon Apr 09 22:26:56 +0000 2018', 'Mon Apr 09 22:26:55 +0000 2018', 'Mon Apr 09 22:26:54 +0000 2018', 'Mon Apr 09 22:26:54 +0000 2018', 'Mon Apr 09 22:26:54 +0000 2018', 'Mon Apr 09 22:26:54 +0000 2018', 'Mon Apr 09 22:26:54 +0000 2018', 'Mon Apr 09 22:26:54 +0000 2018', 'Mon Apr 09 22:26:52 +0000 2018', 'Mon Apr 09 22:26:51 +0000 2018', 'Mon Apr 09 22:26:51 +0000 2018', 'Mon Apr 09 22:26:50 +0000 2018', 'Mon Apr 09 22:26:48 +0000 2018', 'Mon Apr 09 22:26:48 +0000 2018', 'Mon Apr 09 22:26:48 +0000 2018', 'Mon Apr 09 22:26:45 +0000 2018', 'Mon Apr 09 22:26:44 +0000 2018', 'Mon Apr 09 22:26:38 +0000 2018', 'Mon Apr 09 22:26:37 +0000 2018', 'Mon Apr 09 22:26:37 +0000 2018', 'Mon Apr 09 22:26:36 +0000 2018', 'Mon Apr 09 22:26:36 +0000 2018', 'Mon Apr 09 22:26:35 +0000 2018', 'Mon Apr 09 22:26:31 +0000 2018', 'Mon Apr 09 22:26:30 +0000 2018', 'Mon Apr 09 22:26:30 +0000 2018', 'Mon Apr 09 22:26:27 +0000 2018', 'Mon Apr 09 22:26:27 +0000 2018', 'Mon Apr 09 22:26:26 +0000 2018', 'Mon Apr 09 22:26:25 +0000 2018', 'Mon Apr 09 22:26:24 +0000 2018', 'Mon Apr 09 22:26:22 +0000 2018', 'Mon Apr 09 22:26:21 +0000 2018', 'Mon Apr 09 22:26:21 +0000 2018', 'Mon Apr 09 22:26:19 +0000 2018', 'Mon Apr 09 22:26:19 +0000 2018', 'Mon Apr 09 22:26:18 +0000 2018', 'Mon Apr 09 22:26:18 +0000 2018', 'Mon Apr 09 22:26:16 +0000 2018', 'Mon Apr 09 22:26:16 +0000 2018', 'Mon Apr 09 22:26:13 +0000 2018', 'Mon Apr 09 22:26:12 +0000 2018', 'Mon Apr 09 22:26:11 +0000 2018', 'Mon Apr 09 22:26:09 +0000 2018', 'Mon Apr 09 22:26:09 +0000 2018', 'Mon Apr 09 22:26:09 +0000 2018', 'Mon Apr 09 22:26:09 +0000 2018', 'Mon Apr 09 22:26:07 +0000 2018', 'Mon Apr 09 22:26:06 +0000 2018', 'Mon Apr 09 22:26:06 +0000 2018', 'Mon Apr 09 22:26:05 +0000 2018', 'Mon Apr 09 22:26:04 +0000 2018', 'Mon Apr 09 22:26:02 +0000 2018', 'Mon Apr 09 22:26:02 +0000 2018', 'Mon Apr 09 22:26:01 +0000 2018', 'Mon Apr 09 22:26:01 +0000 2018', 'Mon Apr 09 22:25:59 +0000 2018', 'Mon Apr 09 22:25:58 +0000 2018', 'Mon Apr 09 22:25:56 +0000 2018', 'Mon Apr 09 22:25:56 +0000 2018', 'Mon Apr 09 22:25:53 +0000 2018', 'Mon Apr 09 22:25:52 +0000 2018', 'Mon Apr 09 22:25:51 +0000 2018']",0.049,0.905,0.046
